phy_fitness,diet_pref,act_level,sleep_hrs,mindfulness,career,gender,daily_avg_steps,daily_avg_calories,is_healthy
3,Vegetarian,Sedentary,9,1,Artist,0,4952,1833,0
8,Keto,Active,5,8,Teacher,1,10519,2584,1
7,Keto,Active,7,8,Doctor,1,14474,2429,1
1,Non-Vegetarian,Sedentary,7,1,Freelancer,0,2773,1621,0
4,Vegan,Lightly Active,6,4,Engineer,0,6124,1890,0
9,Keto,Highly Active,5,8,Business,0,16834,3941,1
9,Pescatarian,Highly Active,7,6,Freelancer,0,18666,3233,1
1,Pescatarian,Sedentary,7,7,Doctor,0,3346,1747,0
1,Non-Vegetarian,Sedentary,9,1,Freelancer,1,2501,1785,0
4,Vegetarian,Lightly Active,5,9,Business,0,7635,1750,0
8,Keto,Active,5,1,Engineer,0,11499,3021,0
5,Vegetarian,Lightly Active,9,8,Nurse,0,8130,1946,1
4,Vegetarian,Lightly Active,9,2,Teacher,0,6262,1951,0
5,Vegetarian,Lightly Active,8,5,Doctor,0,9600,1878,0
5,Vegan,Lightly Active,8,10,Engineer,1,9359,2317,1
6,Vegetarian,Lightly Active,5,1,Nurse,0,9087,2214,0
1,Vegetarian,Sedentary,7,5,Manager,0,3098,1500,0
3,Keto,Sedentary,7,5,Engineer,0,1904,2034,0
7,Pescatarian,Active,9,6,Engineer,1,11116,2443,1
5,Non-Vegetarian,Lightly Active,6,6,Freelancer,0,6306,2212,0
10,Pescatarian,Highly Active,6,5,Manager,0,16491,3422,1
3,Vegetarian,Sedentary,9,10,Freelancer,0,4800,1879,0
7,Pescatarian,Active,5,5,Artist,0,12160,2465,0
9,Non-Vegetarian,Highly Active,6,1,Doctor,1,19962,3086,0
10,Non-Vegetarian,Highly Active,7,1,Scientist,1,17094,3397,0
9,Vegan,Highly Active,9,9,Nurse,1,17503,2711,1
3,Vegetarian,Sedentary,6,3,Lawyer,1,4692,1632,0
5,Vegan,Lightly Active,9,5,Doctor,0,7574,1782,0
4,Keto,Lightly Active,8,5,Manager,1,8162,2294,0
1,Pescatarian,Sedentary,5,6,Business,1,2726,1674,0
5,Pescatarian,Lightly Active,6,10,Teacher,1,7867,2262,0
8,Pescatarian,Active,6,10,Nurse,0,14706,2850,1
4,Vegan,Lightly Active,5,7,Nurse,1,5322,2106,0
2,Non-Vegetarian,Sedentary,5,7,Scientist,1,1100,1753,0
4,Pescatarian,Lightly Active,9,6,Teacher,0,5004,1998,0
8,Vegan,Active,8,10,Nurse,0,12114,2651,1
3,Vegan,Sedentary,7,9,Teacher,1,1312,1500,0
1,Vegetarian,Sedentary,6,1,Business,1,3553,1842,0
3,Vegetarian,Sedentary,7,7,Doctor,1,3538,1831,0
5,Pescatarian,Lightly Active,7,1,Nurse,0,9644,2233,0
5,Vegetarian,Lightly Active,7,8,Lawyer,0,7716,2365,0
10,Keto,Highly Active,9,9,Freelancer,1,19580,4131,1
5,Vegetarian,Lightly Active,7,9,Manager,1,5774,1936,0
1,Keto,Sedentary,7,4,Manager,1,2913,2171,0
3,Vegan,Sedentary,5,4,Manager,0,2578,1789,0
3,Vegetarian,Sedentary,9,7,Doctor,0,1323,1759,0
1,Vegan,Sedentary,7,2,Artist,0,1155,1641,0
10,Pescatarian,Highly Active,9,6,Teacher,1,17750,3412,1
5,Vegan,Lightly Active,9,8,Doctor,1,9284,2081,1
2,Non-Vegetarian,Sedentary,7,7,Doctor,0,4105,1942,0
2,Keto,Sedentary,5,3,Nurse,0,2905,1941,0
1,Non-Vegetarian,Sedentary,7,2,Manager,1,3272,1977,0
9,Vegetarian,Highly Active,7,7,Engineer,1,19937,3310,1
7,Non-Vegetarian,Active,5,3,Freelancer,1,14418,2876,0
5,Vegetarian,Lightly Active,8,5,Engineer,1,7398,1912,0
10,Keto,Highly Active,8,8,Freelancer,0,19964,3917,1
7,Vegetarian,Active,7,7,Scientist,0,10005,2403,1
2,Keto,Sedentary,8,1,Manager,0,4321,2006,0
8,Vegetarian,Active,6,3,Engineer,0,12542,2620,0
2,Pescatarian,Sedentary,7,7,Business,0,1374,2017,0
4,Vegan,Lightly Active,8,3,Doctor,1,6335,2097,0
7,Vegetarian,Active,6,9,Doctor,1,14445,2611,1
6,Vegan,Lightly Active,9,5,Nurse,1,8671,2355,0
6,Non-Vegetarian,Lightly Active,9,8,Scientist,0,7343,2023,1
4,Vegetarian,Lightly Active,6,10,Business,0,8140,2275,0
1,Non-Vegetarian,Sedentary,7,9,Engineer,0,4920,1549,0
10,Keto,Highly Active,7,9,Business,0,17360,3682,1
7,Non-Vegetarian,Active,8,6,Artist,0,10490,2919,1
10,Vegan,Highly Active,5,3,Freelancer,0,17393,3243,0
7,Non-Vegetarian,Active,5,7,Engineer,1,13793,2453,0
10,Keto,Highly Active,5,3,Teacher,0,18558,3447,1
7,Keto,Active,6,2,Lawyer,1,14662,2546,0
7,Non-Vegetarian,Active,6,10,Manager,1,12414,2774,1
2,Non-Vegetarian,Sedentary,9,1,Teacher,0,4461,1723,0
6,Pescatarian,Lightly Active,9,10,Artist,0,7268,2260,1
1,Vegan,Sedentary,5,10,Nurse,0,4683,1591,0
9,Pescatarian,Highly Active,7,10,Business,1,19175,3853,1
9,Keto,Highly Active,6,10,Scientist,0,15090,3053,1
10,Non-Vegetarian,Highly Active,6,4,Lawyer,1,16587,3299,1
6,Pescatarian,Lightly Active,6,4,Manager,1,7639,2527,0
8,Vegetarian,Active,7,9,Teacher,1,11386,2693,1
9,Pescatarian,Highly Active,7,7,Scientist,0,17567,3325,1
8,Vegan,Active,8,1,Teacher,0,10176,2742,0
2,Keto,Sedentary,7,7,Freelancer,0,1390,1920,0
4,Vegetarian,Lightly Active,6,2,Doctor,0,6309,1750,0
1,Pescatarian,Sedentary,9,5,Nurse,0,2755,1798,0
9,Vegan,Highly Active,5,4,Scientist,0,15372,3827,0
7,Vegetarian,Active,8,3,Lawyer,0,12874,2241,0
10,Vegetarian,Highly Active,7,8,Scientist,0,15073,3296,1
6,Vegan,Lightly Active,5,2,Engineer,0,5375,2218,0
1,Non-Vegetarian,Sedentary,6,10,Nurse,0,2918,1638,0
7,Vegetarian,Active,5,1,Business,1,14179,2451,0
4,Keto,Lightly Active,7,9,Freelancer,1,9936,2556,0
4,Pescatarian,Lightly Active,6,7,Scientist,0,7360,2450,0
10,Pescatarian,Highly Active,9,9,Scientist,0,19981,3788,1
7,Vegetarian,Active,7,8,Teacher,0,13759,2178,1
8,Vegetarian,Active,5,3,Business,1,11404,2392,0
9,Vegetarian,Highly Active,5,2,Scientist,0,18298,3429,0
1,Vegan,Sedentary,5,2,Doctor,1,4396,1712,0
5,Vegan,Lightly Active,6,2,Doctor,1,9422,2204,0
6,Non-Vegetarian,Lightly Active,8,9,Scientist,1,5918,2344,1
3,Keto,Sedentary,8,2,Artist,0,4331,1712,0
9,Vegan,Highly Active,5,4,Scientist,0,16048,2757,0
7,Vegetarian,Active,8,7,Teacher,1,13374,2572,1
6,Non-Vegetarian,Lightly Active,6,2,Artist,1,8777,2161,0
1,Pescatarian,Sedentary,6,2,Freelancer,0,3880,2035,0
6,Keto,Lightly Active,7,1,Nurse,0,5771,2548,0
8,Keto,Active,9,10,Scientist,1,13737,2766,1
3,Non-Vegetarian,Sedentary,5,10,Business,0,5000,1557,0
4,Vegetarian,Lightly Active,6,6,Nurse,1,5412,2377,0
1,Pescatarian,Sedentary,5,7,Doctor,1,2606,1790,0
10,Pescatarian,Highly Active,8,6,Business,0,18832,3828,1
5,Vegan,Lightly Active,6,1,Scientist,0,6791,1949,0
9,Non-Vegetarian,Highly Active,6,3,Manager,1,17929,2855,0
2,Vegan,Sedentary,6,7,Freelancer,1,4029,1735,0
7,Vegan,Active,6,10,Business,0,12021,2665,1
10,Keto,Highly Active,5,4,Manager,0,18620,4014,1
6,Keto,Lightly Active,8,6,Lawyer,0,7428,2580,0
4,Pescatarian,Lightly Active,8,7,Teacher,0,8408,2425,0
1,Non-Vegetarian,Sedentary,5,8,Nurse,0,3039,1947,0
2,Non-Vegetarian,Sedentary,9,9,Freelancer,1,2032,1589,0
7,Vegan,Active,9,6,Business,1,12396,2759,1
4,Non-Vegetarian,Lightly Active,5,5,Engineer,1,6069,1895,0
2,Vegetarian,Sedentary,7,6,Manager,0,2384,1917,0
1,Vegetarian,Sedentary,8,1,Engineer,1,1553,1500,0
1,Pescatarian,Sedentary,6,5,Artist,1,1525,2022,0
3,Keto,Sedentary,7,3,Manager,1,2795,1756,0
6,Pescatarian,Lightly Active,5,7,Nurse,1,5433,2027,0
2,Vegan,Sedentary,8,7,Artist,1,4110,1583,0
1,Keto,Sedentary,8,6,Freelancer,1,3519,2153,0
2,Vegan,Sedentary,9,3,Doctor,1,4820,1820,0
9,Non-Vegetarian,Highly Active,7,10,Freelancer,1,16953,3426,1
8,Non-Vegetarian,Active,7,9,Teacher,0,12876,2302,1
1,Vegetarian,Sedentary,5,9,Freelancer,1,1783,1500,0
9,Pescatarian,Highly Active,5,2,Freelancer,0,16538,3223,0
9,Pescatarian,Highly Active,9,5,Nurse,0,19921,3248,1
1,Vegetarian,Sedentary,5,1,Freelancer,1,1683,1584,0
6,Vegan,Lightly Active,5,8,Scientist,0,9762,2391,0
6,Vegetarian,Lightly Active,8,8,Artist,0,7345,2300,1
5,Vegetarian,Lightly Active,6,10,Lawyer,1,9296,2413,1
9,Keto,Highly Active,6,9,Nurse,1,15629,3083,1
8,Vegetarian,Active,9,8,Artist,0,12847,2173,1
6,Pescatarian,Lightly Active,7,8,Engineer,1,8663,2538,1
8,Pescatarian,Active,8,3,Doctor,1,10159,2837,0
5,Non-Vegetarian,Lightly Active,5,10,Artist,0,5358,2146,0
8,Pescatarian,Active,9,10,Artist,0,11012,2414,1
10,Keto,Highly Active,7,3,Engineer,1,16983,3695,1
2,Keto,Sedentary,5,2,Freelancer,0,4736,1946,0
3,Vegetarian,Sedentary,9,1,Freelancer,0,2948,1835,0
1,Vegetarian,Sedentary,7,1,Doctor,0,3894,1785,0
2,Keto,Sedentary,7,5,Nurse,0,2384,1937,0
6,Keto,Lightly Active,5,8,Lawyer,1,7782,2363,0
8,Vegan,Active,7,7,Manager,1,11934,2712,1
9,Non-Vegetarian,Highly Active,5,6,Manager,0,17648,3818,1
4,Vegetarian,Lightly Active,5,5,Engineer,0,9366,1877,0
4,Vegetarian,Lightly Active,7,4,Artist,1,8945,2198,0
10,Non-Vegetarian,Highly Active,8,5,Nurse,0,16592,3277,1
7,Non-Vegetarian,Active,9,3,Nurse,1,12428,2675,0
6,Keto,Lightly Active,7,1,Teacher,0,9333,2062,0
7,Vegetarian,Active,6,8,Doctor,1,12089,2443,1
9,Non-Vegetarian,Highly Active,6,4,Freelancer,0,16836,3135,1
,Vegetarian,Lightly Active,8,2,Doctor,0,,1897,0
7,Vegetarian,Active,9,1,Manager,0,13662,2703,0
3,Vegetarian,Sedentary,8,8,Teacher,1,2452,1815,0
4,Keto,Lightly Active,8,6,Freelancer,0,6305,2584,0
5,Vegan,Lightly Active,6,7,Lawyer,1,5763,2130,0
9,Pescatarian,Highly Active,7,10,Engineer,0,17202,3970,1
2,Pescatarian,Sedentary,5,3,Freelancer,0,3371,2056,0
5,Pescatarian,Lightly Active,7,7,Freelancer,1,8908,2063,0
9,Vegan,Highly Active,5,4,Doctor,0,17190,3761,1
3,Vegan,Sedentary,9,10,Lawyer,1,2481,1575,0
1,Pescatarian,Sedentary,5,3,Engineer,1,3708,1939,0
4,Keto,Lightly Active,7,3,Doctor,1,9892,2247,0
8,Vegan,Active,6,4,Artist,1,11268,2442,0
9,Pescatarian,Highly Active,8,9,Nurse,1,17662,3120,1
10,Vegan,Highly Active,6,5,Freelancer,0,15095,3691,1
3,Vegan,Sedentary,8,8,Nurse,1,4029,1655,0
6,Keto,Lightly Active,5,1,Business,0,5876,2082,0
9,Keto,Highly Active,5,10,Doctor,1,17021,3429,1
10,Non-Vegetarian,Highly Active,7,5,Business,0,18196,3324,1
6,Pescatarian,Lightly Active,8,5,Scientist,0,5963,2009,0
1,Non-Vegetarian,Sedentary,8,8,Doctor,0,3648,1955,0
8,Keto,Active,5,6,Business,0,14225,2569,0
10,Non-Vegetarian,Highly Active,5,3,Nurse,0,15625,3101,0
7,Keto,Active,9,1,Freelancer,1,11948,3160,0
4,Vegan,Lightly Active,8,1,Doctor,0,6371,2201,0
5,Vegan,Lightly Active,9,1,Nurse,0,8396,2331,0
3,Non-Vegetarian,Sedentary,9,9,Business,1,3404,1589,0
5,Pescatarian,Lightly Active,5,8,Doctor,0,9431,2266,0
7,Pescatarian,Active,6,1,Doctor,0,11820,3043,0
5,Vegan,Lightly Active,5,5,Business,0,5528,2247,0
5,Non-Vegetarian,Lightly Active,5,8,Doctor,0,8676,2347,0
3,Pescatarian,Sedentary,6,9,Freelancer,0,1208,2092,0
10,Non-Vegetarian,Highly Active,9,1,Business,0,19811,2965,1
3,Vegan,Sedentary,5,10,Doctor,0,1200,1834,0
1,Vegan,Sedentary,8,1,Manager,0,4675,1664,0
2,Vegetarian,Sedentary,6,5,Lawyer,1,3039,1597,0
10,Keto,Highly Active,8,2,Teacher,0,15166,3414,1
,Vegetarian,Highly Active,8,4,Teacher,1,18206,3776,1
6,Pescatarian,Lightly Active,9,4,Nurse,1,8175,2014,0
7,Pescatarian,Active,9,2,Teacher,0,13038,2300,0
10,Pescatarian,Highly Active,9,10,Manager,1,19528,3226,1
8,Vegetarian,Active,8,2,Doctor,1,11395,2160,0
2,Vegan,Sedentary,6,8,Nurse,1,3219,1701,0
7,Keto,Active,9,2,Manager,1,11044,3134,0
2,Non-Vegetarian,Sedentary,6,4,Freelancer,1,2288,1714,0
1,Non-Vegetarian,Sedentary,9,3,Business,0,1363,1800,0
10,Keto,Highly Active,8,9,Business,0,17624,3478,1
9,Pescatarian,Highly Active,8,6,Artist,1,18252,3327,1
7,Vegan,Active,5,3,Scientist,0,10833,2348,0
4,Keto,Lightly Active,9,4,Scientist,1,9093,2642,0
1,Pescatarian,Sedentary,7,1,Nurse,0,3462,2031,0
6,Vegetarian,Lightly Active,8,6,Nurse,0,9947,1870,0
2,Pescatarian,Sedentary,5,3,Manager,1,3371,1799,0
2,Pescatarian,Sedentary,6,10,Nurse,0,3255,1836,0
2,Vegan,Sedentary,5,9,Business,0,4953,1864,0
4,Keto,Lightly Active,7,4,Engineer,1,7867,2111,0
10,Pescatarian,Highly Active,6,7,Teacher,0,18999,3333,1
2,Pescatarian,Sedentary,8,2,Engineer,1,3097,1899,0
10,Vegan,Highly Active,9,10,Business,1,17562,3127,1
4,Non-Vegetarian,Lightly Active,8,3,Lawyer,1,8661,2477,0
8,Pescatarian,Active,6,9,Lawyer,1,14425,2818,1
7,Keto,Active,5,1,Lawyer,1,11302,3200,0
1,Vegan,Sedentary,8,4,Artist,0,1885,1702,0
4,Keto,Lightly Active,9,9,Nurse,1,5480,2564,1
8,Pescatarian,Active,8,10,Business,0,12659,2451,1
2,Pescatarian,Sedentary,8,9,Scientist,1,1036,2030,0
4,Pescatarian,Lightly Active,7,2,Business,1,7965,2431,0
3,Non-Vegetarian,Sedentary,8,6,Nurse,0,4694,1805,0
6,Non-Vegetarian,Lightly Active,9,5,Lawyer,0,9959,1803,0
2,Vegan,Sedentary,7,10,Freelancer,1,2798,1586,0
1,Non-Vegetarian,Sedentary,7,7,Doctor,1,3809,1900,0
1,Keto,Sedentary,5,9,Business,1,4471,2018,0
8,Keto,Active,8,7,Artist,0,11980,2905,1
10,Pescatarian,Highly Active,5,3,Teacher,1,15814,3635,0
8,Keto,Active,7,4,Teacher,1,12507,2630,0
1,Non-Vegetarian,Sedentary,7,2,Business,0,1217,1785,0
5,Vegan,Lightly Active,8,2,Scientist,1,6559,1765,0
5,Keto,Lightly Active,9,10,Scientist,1,8458,2666,1
10,Pescatarian,Highly Active,8,8,Lawyer,0,17027,4056,1
7,Non-Vegetarian,Active,5,3,Engineer,1,10544,2723,0
7,Pescatarian,Active,9,2,Artist,0,14382,2605,0
5,Non-Vegetarian,Lightly Active,5,2,Teacher,0,5827,2041,0
5,Vegan,Lightly Active,8,8,Artist,0,7958,1951,0
6,Keto,Lightly Active,8,4,Lawyer,0,8295,2341,0
7,Vegan,,8,10,Nurse,1,11757,2513,1
4,Keto,Lightly Active,7,3,Artist,0,6870,2602,0
3,Pescatarian,Sedentary,5,8,Freelancer,1,1264,,0
,Vegan,Lightly Active,5,3,Doctor,1,6297,2334,0
4,Vegetarian,Lightly Active,9,5,Artist,0,7139,2414,0
2,Vegan,Sedentary,8,8,Business,0,2372,1693,0
7,Vegan,Active,5,1,Doctor,1,11553,2577,0
9,Vegan,Highly Active,5,6,Artist,0,17050,2847,1
6,Vegetarian,Lightly Active,5,10,Teacher,1,8119,1867,0
10,Pescatarian,Highly Active,6,4,Freelancer,1,15609,3750,1
7,Pescatarian,Active,6,4,Doctor,0,12407,2301,0
7,Vegan,Active,8,6,Doctor,1,14719,2715,1
7,Non-Vegetarian,Active,7,10,Artist,1,10114,2392,1
10,Non-Vegetarian,Highly Active,8,9,Business,1,18289,2936,1
4,Vegan,Lightly Active,8,10,Scientist,1,8424,1957,1
8,Keto,Active,6,7,Nurse,0,12665,2696,1
5,Vegan,Lightly Active,8,8,Nurse,1,9555,1754,0
8,Pescatarian,Active,8,8,Manager,1,11550,2981,1
1,Non-Vegetarian,Sedentary,7,10,Artist,1,2474,1996,0
2,Non-Vegetarian,Sedentary,5,4,Artist,1,4458,1589,0
9,Pescatarian,Highly Active,9,5,Engineer,1,19934,2902,1
7,Vegan,Active,7,5,Freelancer,0,10903,2456,0
6,Vegetarian,Lightly Active,7,1,Business,1,7064,2329,0
5,Non-Vegetarian,Lightly Active,9,10,Engineer,1,7019,1990,1
3,Keto,Sedentary,7,9,Artist,0,4548,1809,0
4,Pescatarian,Lightly Active,8,4,Freelancer,0,9959,2061,0
6,Non-Vegetarian,Lightly Active,9,5,Engineer,0,5469,1987,0
4,Vegan,Lightly Active,5,2,Freelancer,0,5643,2171,0
5,Non-Vegetarian,Lightly Active,6,8,Artist,1,5796,1958,0
6,Vegetarian,Lightly Active,9,4,Freelancer,1,5550,2317,0
1,Pescatarian,Sedentary,6,7,Nurse,1,4333,1902,0
7,Pescatarian,Active,9,9,Engineer,1,13465,2437,1
8,Keto,Active,9,6,Scientist,1,11924,2843,1
7,Vegan,Active,8,3,Engineer,1,13924,2334,0
2,Vegetarian,Sedentary,5,1,Manager,1,4251,1648,0
4,Non-Vegetarian,Lightly Active,6,5,Business,0,6028,2478,0
7,Keto,Active,9,3,Business,1,12685,2816,0
4,Pescatarian,Lightly Active,6,10,Scientist,1,7423,2464,0
4,Pescatarian,Lightly Active,7,2,Business,0,6154,2321,0
8,Non-Vegetarian,Active,9,1,Manager,1,12611,2659,0
2,Pescatarian,Sedentary,6,7,Doctor,1,2532,2030,0
1,Non-Vegetarian,Sedentary,6,8,Artist,0,2376,1707,0
9,Keto,Highly Active,5,10,Manager,1,16130,3913,1
10,Vegan,Highly Active,5,7,Lawyer,0,18041,3304,1
2,Vegan,Sedentary,9,3,Teacher,0,4883,1672,0
8,Non-Vegetarian,Active,7,7,Doctor,0,10182,2201,1
2,Non-Vegetarian,Sedentary,8,4,Freelancer,0,3933,1993,0
4,Keto,Lightly Active,9,10,Business,0,5254,2105,1
5,Vegetarian,Lightly Active,7,3,Freelancer,1,8797,2369,0
10,Keto,Highly Active,6,1,Engineer,1,15141,4022,0
8,Keto,Active,7,5,Freelancer,1,10047,3030,1
6,Vegetarian,Lightly Active,9,9,Scientist,1,7482,1809,1
3,Pescatarian,Sedentary,8,9,Manager,0,3724,1809,0
7,Non-Vegetarian,Active,5,8,Business,0,14291,2785,1
8,Pescatarian,Active,8,3,Business,1,12626,3071,0
1,Pescatarian,Sedentary,8,7,Scientist,1,2365,1840,0
9,Non-Vegetarian,Highly Active,7,4,Business,0,16663,3028,1
4,Keto,Lightly Active,9,9,Nurse,0,8293,2615,1
9,Vegan,Highly Active,7,3,Business,1,16488,3050,1
2,Pescatarian,Sedentary,8,9,Artist,0,4615,1884,0
6,Non-Vegetarian,Lightly Active,7,7,Artist,0,9031,1883,0
10,Vegan,Highly Active,5,2,Nurse,0,19228,3128,0
6,Vegan,Lightly Active,6,10,Engineer,0,5566,1983,1
8,Pescatarian,Active,9,8,Lawyer,0,13183,2592,1
10,Vegan,Highly Active,6,8,Nurse,0,17819,3569,1
10,Non-Vegetarian,Highly Active,7,1,Manager,0,16919,3595,0
9,Pescatarian,Highly Active,9,6,Teacher,0,18743,3285,1
9,Keto,Highly Active,7,1,Lawyer,1,16558,3889,0
2,Non-Vegetarian,Sedentary,9,7,Nurse,1,3813,1685,0
9,Non-Vegetarian,Highly Active,7,5,Freelancer,1,17875,2942,1
10,Vegetarian,Highly Active,5,7,Lawyer,1,16509,3699,1
3,Vegetarian,Sedentary,5,10,Freelancer,0,4492,1705,0
9,Keto,Highly Active,9,3,Freelancer,1,15562,3107,1
7,Keto,Active,8,4,Freelancer,0,11623,2679,0
3,Vegetarian,Sedentary,9,6,Freelancer,1,1039,1799,0
4,Keto,Lightly Active,9,7,Freelancer,1,8282,2607,0
9,Keto,Highly Active,8,6,Manager,0,18598,3278,1
6,Pescatarian,Lightly Active,8,10,Business,1,8287,2079,1
3,Vegetarian,Sedentary,5,1,Manager,0,3218,1774,0
10,Vegetarian,Highly Active,6,2,Nurse,0,16453,3187,0
10,Vegetarian,Highly Active,5,1,Manager,1,17683,3882,0
10,Non-Vegetarian,Highly Active,9,6,Manager,1,18973,2855,1
2,Keto,Sedentary,5,6,Manager,0,3840,1882,0
10,Keto,Highly Active,9,7,Scientist,1,19200,4024,1
6,Keto,Lightly Active,6,3,Doctor,0,7638,2446,0
1,Non-Vegetarian,Sedentary,7,2,Business,0,2985,1736,0
1,Pescatarian,Sedentary,7,8,Artist,0,1526,1638,0
2,Pescatarian,Sedentary,9,4,Scientist,1,2877,2026,0
2,Vegan,Sedentary,6,7,Artist,1,3135,1782,0
2,Keto,Sedentary,5,9,Teacher,1,2419,2061,0
9,Pescatarian,Highly Active,6,6,Business,0,15494,3206,1
5,Non-Vegetarian,Lightly Active,8,7,Lawyer,1,9127,2024,0
1,Vegetarian,Sedentary,6,10,Freelancer,0,3076,1886,0
7,Pescatarian,Active,6,1,Engineer,1,13354,2786,0
1,Non-Vegetarian,Sedentary,8,8,Artist,0,1576,1930,0
